,songlist,watch_num,sub_num,time,up,url,content
1,【洛天依古风原创曲】权御天下【原创PV付】,432.1,53069,2015-03-05,没有龟壳的乌龟,www.bilibili.com/video/av2075941?from=search&seid=4629155576469581619,"东汉末 狼烟不休

常侍乱 朝野陷

阿瞒挟天子 令诸侯

据江东 志在九州

继祖业 承父兄

既冕主吴越 万兜鍪

纵天下 几变春秋

稳东南 面中原

水师锁长江 抗曹刘

镇赤壁雄风赳赳

夺荆楚 抚山越

驱金戈铁马 灭仇讎

紫发髯 碧色眼眸

射猛虎 倚黄龙

胆识过凡人 谁敌手

御天下 半百之久

选贤臣 任能将

覆江东云雨 尽风流

千秋过 再难回首

问古今 兴亡事

几人耀青史 芳名留

笑谈间 云烟已旧

终留下 万古叹

生子该当如 孙仲谋

运帷幄 英雄几拂袖

阴谋 阳谋 明仇 暗斗

化作一江蜀浪东流

君不见 军赤壁纵野火铁索连环

也不见 御北敌联西蜀长江上鏖战

继遗志 领江东

屹立于 神州东南

尽心力 洒英血

展伟业 剑气指苍天

军帐内 公瑾智 张昭谋 奇策频献

沙场上 太史勇甘宁霸一骑挡十千

纵使有 千万种

寂寞和 孤单相伴

既受终 冠帝冕

龙椅上 成败也笑看

铁瓮城 难攻易守

旌旗立 苍空蔽

逾百千雄狮 万蒙舟

善制衡 眼光独秀

擢鲁肃 劝阿蒙

聚贤成霸业 名利收

固疆土 施德恩厚

军心定 百姓安

富国又强兵 重耕耨

交远好 未雨绸缪

联南洋 合林邑

行军远渡海 驻夷洲

残垣下 枯木凋朽

想当年 梦城边

截兵缚关羽 终其寿

凭栏倚 横看吴钩

叹乱世 几时了

天下归一统 没其咎

称帝王壮心仍稠

却无奈 自孤傲

同室亦操戈 子嗣斗

千年后 恚恨徒留

再何寻 军帐里

将士聚欢饮 赏箜篌

运帷幄 英雄几拂袖

阴谋 阳谋 明仇 暗斗

化作一江蜀浪东流

君不见 吕子明 踏轻舟 白衣渡川

也不见 陆伯言 烧连营 火光上冲天

善制衡 选贤臣 任能将 共谋江山

听忠言 摒逆语 树威严 宝剑斩书案

夺荆州 抗刘备 合曹操 共克襄樊

守夷陵 任陆孙 剿敌軍 火计破蜀瞻

固江河 成帝业 立国家 终归于乱

光阴逝 千载过 功成者 都付笑谈间

君不见 军赤壁纵野火铁索连环

也不见 御北敌联西蜀长江上鏖战

继遗志 领江东

屹立于 神州东南

尽心力 洒英血

展伟业 剑气指苍天

君不见 吕子明 踏轻舟 白衣渡川

也不见 陆伯言 烧连营 火光上冲天

善制衡 选贤臣 任能将 共谋江山

听忠言 摒逆语 树威严 宝剑斩书案

纵使有 千万种 寂寞和 孤单相伴

既受终 冠帝冕 龙椅上 成败也笑看

固江河 成帝业 立国家 终归于乱

光阴逝 千载过 功成者 都付笑谈间
"
2,【2017拜年祭单品】万神纪【星尘原创曲】,194,44277,2017-02-10,康师傅の海鲜面,www.bilibili.com/video/av8506694?from=search&seid=4629155576469581619,"吞吐间是云水泱泱
指尖上是尘土茫茫
我检点五千转飞光
太初混沌一双明目启张
持巨斧劈开这洪荒
开宇疆以叩问三皇
谁将我在琅环阁藏
二十四朝能纳多少篇章
天东有若木
钟山有赤龙衔烛
烧热华夏子民的五脏六腑
射金乌的箭
按在我的弓弦上
无垠霄汉不过英雄的瞭望
焉有火光
取星辰之辉来耀四方
尝百草
也豪饮大泽河渭汤汤
斩断鳌足
立天柱万仞以正玄黄
如今它
仍旧是我挺直的脊梁
鱼龙阵内
我金戈既出无人不降
一战死
留英魂常镇八方万邦
飞鸢为旗
齐迎我驾北斗星到场
中原九万顷
须由我写下历纪第一章
访昆仑也涉西山淇
曾路过彩绘的画壁
或寻至碑铭的典籍
饮罢乾坤喉头犹有热气
常羊山拾一把干戚
九天上乘雾见玄女
骑红鲤在龙门游弋
造三千字道破一点天机
杜若含秋光
九歌一梦起湘江
它在华夏子民血脉中流长
七弦琴悠扬
我共河伯醉一场
借问那玉佩是否还在洛阳
东海浩荡
七尺红绫击排空巨浪
踏金轮
我六瞳之中莲花开放
翅下风雷
芒角昭昭封我为大将
登云行
石烂松枯也不过片晌
三更点灯
照夜来白额猛虎入帐
出岐山
我抬头看见彩凤飞降
招妖幡动
众精怪俯首称我为王
列宿次第开
该由我揭下封神第一榜
羲和的金车走了多长
望舒御月去了何方
我上游银河下走大荒
十二楼听谁将故事弹唱
神话时代
眨眼间曲折成了回廊
千载后
它是我掌心里的纹章
英雄过往
或斑驳在朱漆的画堂
但也在
这山高海阔天地苍茫
焉有火光
取星辰之辉来耀四方
中原上
谁扬鞭策得历纪开章
东海浩荡
七尺红绫击排空巨浪
列宿下
谁留名封神台前金榜
行过昆仑
壶中日月把浊酒温烫
借热意
我笔下漫书琅环典藏
披览篇章
通入传奇作一番荒唐
溯回五千年
任由我自诩万古第一狂！							"
3,【言和】牵丝戏（剧情向）,126,39882,2015-05-18,纳兰寻风,www.bilibili.com/video/av2339931?from=search&seid=4629155576469581619,"嘲笑誰恃美揚威 沒了心如何相配
盤鈴聲清脆 帷幕間燈火幽微
我和你 最天生一對
沒了你才算原罪 沒了心才好相配
你襤褸我彩繪 並肩行過山與水
你憔悴 我替你明媚
是你吻開筆墨 染我眼角珠淚
演離合相遇悲喜為誰
他們迂迴誤會 我卻只由你支配
問世間哪有更完美
蘭花指捻紅塵似水
三尺紅台 萬事入歌吹
唱別久悲不成悲 十分紅處竟成灰
願誰記得誰 最好的年歲
你一牽我舞如飛 你一引我懂進退
苦樂都跟隨 舉手投足不違背
將謙卑 溫柔成絕對
你錯我不肯對 你懵懂我蒙昧
心火怎甘心揚湯止沸
你枯我不曾萎 你倦我也不敢累
用什麼暖你一千歲
風雪依稀秋白髮尾
燈火葳蕤 揉皺你眼眉
假如你舍一滴淚 假如老去我能陪
煙波裡成灰 也去得完美
風雪依稀秋白髮尾
燈火葳蕤 揉皺你眼眉
假如你舍一滴淚 假如老去我能陪
煙波裡成灰 也去得完美"
4,【新曲】真·操戈天下 (洛天依中文 PV附),104.4,12215,2015-06-08,睡狸,www.bilibili.com/video/av2414867?from=search&seid=4629155576469581619,"狼烟四起 战不休
董卓据长安 酒池肉林乐无忧
孝廉出世 志九州
矫诏倡义兵 平定董贼起陈留
面威容 心有鬼谋	
黄巾乱中救 奉迎天子令诸侯	
风流春秋 六合游
铁骑踏平川 席卷八荒威风抖

剑指四方 皆俯首
汉中破马超 征战官渡平凉州
拍案发兵 报父仇	
凡负我之人 斩尽杀绝不可踌
惊雷雨天 煮梅酒
论天下英雄 使君与操二人留
笑谈之间 云烟旧	
沧海传诗篇 碣石今世身影犹

青史册 几笔数春秋	
勿回首 自留七十二疑冢
待后人 何时能看透	

奇袭惊天 乌巢大破袁军十万	
入董营间 只身将七星剑借献
霸业无边 金戈铁马逐鹿中原
亲身征战 兵书作枕火光中眠	

奉孝智仙 万里外已料敌在前	
元让武全 咫尺内啖眼也当先	
不受帝冠 为世人谋太平人间	
机关算遍 谋事在人成事在天

挥手投鞭 断水流	
看星罗棋布 何时才能平争斗	
用人不疑 忠义守	
唯能人是举 高明远识魏武侯	
自削须发 以代首	
严整军中纪 自身不例万人叩	
深情重义 明哀愁	
代为葬关羽 直教东吴孙权羞

叹生苦短 堪回首	
生灵犹涂炭 几多春秋战不休	
天下不定 志未酬	
何时熄烽火 安得繁荣民衣裘	
惜膝下子 怨已久	
同根亦相煎 奈何泣下釜中豆	
千古霸业 不易守	
司马狼顾 自此一留魏不再走	

青史册 几笔数春秋	
勿回首 自留七十二疑冢
待后人 何时能看透	

奇袭惊天 乌巢大破袁军十万	
入董营间 只身将七星剑借献
霸业无边 金戈铁马逐鹿中原
亲身征战 兵书作枕火光中眠	

奉孝智仙 万里外已料敌在前	
元让武全 咫尺内啖眼也当先	
不受帝冠 为世人谋太平人间
机关算遍 谋事在人成事在天
一夫当关 使周瑜江陵无功返
自不贪欢 占半壁江山多少年
扬善惩奸 胸中自有着蜜与剑
岂肯偏安 将心中志向天下宣

奇袭惊天 乌巢大破袁军十万
入董营间 只身将七星剑借献
霸业无边 金戈铁马逐鹿中原
亲身征战 兵书作枕火光中眠

奉孝智仙 万里外已料敌在前	
元让武全 咫尺内啖眼也当先	
不受帝冠 为世人谋太平人间	
机关算遍 谋事在人成事在天"
5,【洛天依民国风】八辈子【PV付】,94.2,42124,2014-07-03,没有龟壳的乌龟,www.bilibili.com/video/av1250752?from=search&seid=218002058262409199,"糯米香 穿过桥洞绕过瓦梁
哼歌谣 和着涟漪轻摇
莲蓬房 着碧绿衣裳
六月过半 我把菱角拾满筐

好乘凉 捧一碟泥螺到桌旁
揣零钱 垆头沽酒二三两
煮薰豆 留半壶温暖
露水煎茶 撒上一把白果碎瓣

和爷爷 划过小船顶上红伞弯过好多弯
那年圆月如今在何方潇洒
谁在望 晚风里的安详
喝下一杯 蛋米小酒思故乡

门前小洛雀 喳喳对话共头顶知了一同扰攘
紧凑针脚把思念绣进荷囊
青梅子 埋进屋后酝酿
偶尔忆起儿时玩伴 时光流水般久长

桂花香 香气勾勒多少过往
捉迷藏 跑过长街短巷
洗衣塘 我双脚清蘸
邻家门口 鱼儿嬉弄笑说痒

雕花窗 窗外看到多少来往
灯笼红 害怕它有天泛黄
收好你 栀子缠手环
只有兜里几块酥糖陪我远方

现在我 行走都市街太漫长没有心思看
那年圆月 如今在何方潇洒
谁在等 离家孩子归还
喝下几杯 无味的酒便回想

四五小儿郎 咬着青团追着纸鸢转了好多转
那年萤光 如今在哪里游荡
矮回廊 我沿着青石砖
枕竹椅听 水声推浆 伴着蛙鸣入梦乡

和爷爷 划过小船顶上红伞弯过好多弯
那年圆月如今在何方潇洒
谁在望 晚风里的安详
喝下一杯 蛋米小酒思故乡

门前小洛雀 喳喳对话共头顶知了一同扰攘
紧凑针脚把思念绣进荷囊
青梅子 埋进屋后酝酿
偶尔忆起儿时玩伴 时光流水般久长
"
6,【洛天依】前尘如梦「新年重制版」（By桜色妖精）,87.1,32351,2013-01-31,唐乐林,www.bilibili.com/video/av456930?from=search&seid=4629155576469581619,"林立楼房 堵得心慌
来往人群 淹没我悲伤 
想远远 离开那喧闹场 
独自回房 空荡荡

灯火彷徨 醉得受伤
月牙凄凉 洒了一地霜
想静静 进入那温柔乡
梦中寻找 看见前世窗 

梦里那座小桥桥头瞧啊瞧（小桥桥头瞧呀瞧）
梦里那个池塘荷花摇啊摇（池塘荷花摇呀摇）
撑一把纸伞 在雨幕中回转
只羞舞给 中意的你看（我情愿）

前世那只小舟湖上泛啊泛（小舟湖上泛呐泛）
前世那张山水水墨染啊染（山水水墨染呐染）
点一盏烛光 在长亭外遥遥守望
流不尽的相思和情长

深夜醒来 泪水成灾
现实还在 我逃避不开
想深深 沉进那轮回海
看见未来 白皑皑

孤影窗台 拭去尘埃
窗外色彩 通通进不来
想快快 找到那唯一爱
牵手漫步 续写今生脉

梦里那座小桥桥头瞧啊瞧（小桥桥头瞧呀瞧）
梦里那个池塘荷花摇啊摇（池塘荷花摇呀摇）
撑一把纸伞 在雨幕中回转
只羞舞给 心爱的你看（我情愿）

前世那只小舟湖上泛啊泛（小舟湖上泛呐泛）
前世那张山水水墨染啊染（山水水墨染呐染）
吹一盏烛光 新房里与郎共赏
说不完的地久和天长

前尘如梦 去猜
永世生生不忘怀

梦里那座小桥桥头瞧啊瞧（小桥桥头瞧呀瞧）
梦里那个池塘荷花摇啊摇（池塘荷花摇呀摇）
撑一把纸伞 在雨幕中回转
只羞舞给 中意的你看（我情愿）

前世那只小舟湖上泛啊泛（小舟湖上泛呐泛）
前世那张山水水墨染啊染（山水水墨染呐染）
点一盏烛光 在长亭外遥遥守望
流不尽的相思和情长
吹一盏烛光 新房里与郎共赏
说不完的地久和天长"
7,【洛天依/乐正绫原创】霜雪千年【PV付/COP】,80.8,6854,2015-10-14,COPY,www.bilibili.com/video/av3060153?from=search&seid=4629155576469581619,"梨花香 缠着衣角掠过熙攘
复悄入红帘深帐
听枝头黄鹂逗趣儿 细风绕指淌
坐船舫 兰桨拨开雾霭迷茫
不觉已一日过半
过眼的葱郁风光 悉数泛了黄

褪尽温度的风 无言牵引中
便清晰了在此的眉目
暮色的消融 隐约了晦朔葱茏

在这老街回眸 烟云中追溯我是谁
只消暮雨点滴 便足以粉饰这是非
待这月色涌起 谁人轻叩这门扉
苔绿青石板街 斑驳了流水般岁月
小酌三盏两杯 理不清缠绕的情结
在你淡漠眉间 瞥见离人的喜悲霜雪

楼阁现 尘飞雾散荧光蹁跹
显露出斑驳石阶
入眼是落英纷然 芳草入深院
凭栏杆 小桌上置琼觞两盏
阖眼听清风疏叶
似曾有欢声笑言 萦绕这高轩

云动寂静鸣蝉 雨坠激漪涟
皴擦点染勾勒这世间
缘起的一眼 定格了三生千年

在这老街回眸 烟云中追溯我是谁
只消暮雨点滴 便足以粉饰这是非
待这月色涌起 谁人轻叩这门扉
苔绿青石板街 斑驳了流水般岁月
小酌三盏两杯 理不清缠绕的情结
在你淡漠眉间 瞥见离人的喜悲霜雪

三月梨花雪 几载开了又败
笔锋走黑白 丹青中穿插无奈
彼时那弯儿月 何时初现于江畔
而我又在待何人

在这亭台回眸 千年后忆起你是谁
只消月色隐约 便足以勾勒这是非
待这回忆涌起 恍惚之间已下泪

枫红十里长街 红帘后谁人蹙着眉
遥梦桑竹桃源 轮回中曾道别的地点
愿今生再相见 消融你眉间悲戚霜雪"
