,songlist,watch_num,sub_num,time,up,url,content
40,【洛天依原创】桥驿听雨落【海鲜面】【pv附】,19,5839,2015-06-19,康师傅の海鲜面,www.bilibili.com/video/av2455795?from=search&seid=13348715207099616047,"待到连绵雨初霁
不巧　今又逢哭丧脸龙王爷
新裳偏易惹尘泥
不快　寻巷尾遇茶肆得暂歇

乌蓬推浆渡桥外
正是　细雨薄织以待素伞开
门响瞥得有青衫摆
正好　故事到口就逢听客来

勿嫌武夷秋叶味清寒
温水入碗
绕口香不散

白罐撒不知名青茶焙
想儿时　翠畦田间扑捉白蝶
我亦曾羡鸟雀四下飞
而如今　难能安稳又问谁借

{沉香缓步杯沿静欲睡
苦辛味　盘过喉舌甘香才觉
再窥天雨一帘何来嫌
烟柳色　如捧玉碎十里街

逢雨更觉远山改
未见　何处春景长留从不败
也曾顶无檐居四海
未妨　听我把见闻稍作显摆

颠沛终求得清净一爿
抱惑满怀
侧耳请道来

岳阳采莲歌中闻式微
秦淮岸　楼头月碎瓦上清辉
斗城意气少年嗾鹰飞
渡融江　柳州初霜雁又南归

两鬓原是渐生秦淮雪
偶思回　万里之外忽闻歌吹
离雁总爱将人暇光衔
才忆起　恍然半生又一岁

今日感君言或难再逢
掸衣惜别　只天时当归

晚秋瓮取夜露酿新醅
西风送　旧栈灯烛犹落红泪
几人孤舟蓑笠坐船尾
几人醉　几人仍将那彩云追

店前二月柳色十月颓
世间事　一言难尽也道不对
闲听雨落恰得与君会
今日我　淡茶代酒两三杯"
41,【洛天依 乐正绫】长夜雨【PV付】,18.3,4113,2015-08-04,天zZ,www.bilibili.com/video/av2681130?from=search&seid=9442653845805268962,"
独夜月微凉　那是离人的眼光
镜湖中倒影出的　是谁人的脸庞
庭院落叶何寂寥　孤影挂在东墙上
而你却已然　不在我的身旁

长夜雨慢慢流淌　滑过脸庞成两行
能否再聚西窗下　对坐共饮白月光
长夜雨伴着泪光　而你如今在何方
此情一梦难以忘　谁堪与我诉衷肠

啊　这孤单的雨夜
你是否在军帐
牵挂着这牵挂你的人啊
在纸上写下思念　却诉不清离伤

秋雨夜未央　残灯落影满地霜
未曾想　如今却与你咫尺天涯
手中剑所指苍茫　黄沙吹尽少年狂
赢天下　却换不来你在我的身旁

多少次　我梦回那雨下的夜晚
携手漫步　在洒满落英的路上
低头浅吻　在你那温热的脸庞
这一切是否只存于念想

长夜雨不停地下　冰河铁马声悠荡
眼中这条黄沙路　为何通不往家乡
长夜雨湿了戎装　烽火烧不尽荒凉
待到能荣归故乡　你却在别人身旁

啊　这孤单的雨夜
你是否在西厢
思念着这思念你的人啊
在黄沙刻下牵挂　却诉不清离伤

长夜雨慢慢流淌　滑过脸庞成两行
能否再聚西窗下　对坐共饮白月光
长夜雨伴着泪光　而你如今在远方
此情一梦难以忘　等你与我诉衷肠
长夜雨快停歇吧　踏上无尽的路啊
愿与你相拥在那月光下
"
42,【洛天依】剑御天下（仙剑PV付）高清重制版,18.1,4223,2015-04-19,苏若藓,www.bilibili.com/video/av2237090?from=search&seid=13348715207099616047,"神树高耸入苍天
三皇立 九泉散 娲皇怜世意 神器现
新仙界楼蓬私战
溪风走 水碧潜 神将佩剑落 入凡间
幻瞑现昆仑之巅
太清逝 婵幽伤 夙玉携望舒 双剑远
青鸾间少年寻仙
入琼华 觅三寒 不周战烛龙 过阴间
剑魂已等待千年
渝州现 寻前缘 蓬莱遇重楼 阻邪仙
神魔之井上青天
知前世 任神将 蜀山锁妖塔 萱草谢
唐家集结江湖缘
踏歌行 尽逍遥 煌仙显神通 地脉连
战燎日了结情怨
室韦路 少年叹 问情为何物 终渐远

忆当时 年少自轻狂
仙风 道骨 碧落 黄泉
化作轮回流年旋转
君不见琼华巅玄霄狂妄战九天
也不见少年郎驱神器不惜毁双眼
曾记否多年前相遇的那一瞬间
还记得剑炉中消散的那一张笑脸
犹忆起客栈里洞冥宝镜收妖坛
不曾忘是谁人的倩影跪在孤坟前
纵使有千万种寂寞和孤单相伴
惟余天道循环千百年也不曾改变

翩翩潇洒美少年
灵岛上 白河边 仗剑走天涯 为红颜
锁妖塔下成永诀
知宿命 终难逃 南诏战拜月 神形湮
佩环牵今生红线
虎煞收 御灵伴 芳踪狐影渺 命多舛
莲池重铸冰青剑
除孔璘 忘前仇 开封诛妖僧 天下安
明州城远潮初见
折剑庄 血脉现 塞外缚妖王 救楼兰
医佳人寻草仙山
封印守 罡斩解 司云驱枯木 坠崖间
廿载后再续前缘
却无奈 难逆天 覆天顶乱阵 香魂散
世离生阴谋终现
魔翳毙 蜀山沉 幽蛮永相隔 不再见

忆当时 年少自轻狂
侠骨 柔肠 剑影 刀光
化作轮回流年旋转
君不见山神庙那一夜月下传剑
也不见笛声中冰雪间谁人撑纸伞
曾记否五华山逍遥御剑斩魔尊
还记得摩诃寺禁咒间狐女解机关
犹忆起流光洞凌波和龙溟缠绵
不曾忘青木居厉岩结萝月下花前
多年后皇台上云凡回想起从前
又梦到篝火前萤火虫飞舞的那天
君不见风雨飘落花凋白鹤渐远
也不见余霞间望空楼斩情丝延绵
还记得御剑仙看河山任我游遍
不曾忘苍穹中红尘写不尽思念
君不见昆仑巅箜篌一曲成离别
也不见轮回间前尘灭唤醒了誓言
回首望蜀山伫仿佛昔日在眼前
无法忘清风里灵归处千年共婵娟
纵使有浮生中寂寞和黑夜牵绊
仍无妨关山前谈笑间看烟花璀璨
又忆起仗剑行江湖梦那段时间
却道是今生无悔仙剑奇侠永流传"
43,【洛天依原创】夏夕【Melo】【平行四界】,17.5,6175,2015-08-22,Ddickky,www.bilibili.com/video/av2782106?from=search&seid=13348715207099616047,"月色渐漫水墨色江南
今夜又溢满谁家酒坛
花灯百盏糖葫芦串串
古旧的青石板 捕一路鸣蝉
拉着手腕流萤绕小扇
共抬头遥看烟火绚烂
青石桥岸折一只小船
记忆里的岁月 流淌著慢慢

星夜遍染云山
蔓延天河的彼端
小小纸船 不知辗转漂泊到第几湾
此夕梦里鸣蝉
似细诉婉转
在寻找牵牛相伴

明月照晚送一只发簪
寄一心喜欢缀著牡丹
火树斑斓映着你眉弯
不知牡丹花瓣 待何时盛绽

星夜遍染云山
蔓延天河的彼端
烟花渐散 落入掌心未消些许温暖
画卷氤氲弥漫
水墨色江南
有一抹笑语嫣然"
44,【洛天依·乐正绫原创】塞下曲·再一年为君征战（PV付）,17.3,1801,2016-09-21,黒白君,www.bilibili.com/video/av6360842?from=search&seid=9442653845805268962,"冷夜長 
衾枕寒
上高台共明月
淚眼徘徊
再打濕桃花笑顏

秋風又一度入關
再一年為君征戰
羌笛蘆管悠悠聲
歸思誰人聞

塞外又一輪月缺
再一炊直直孤煙
金戈鐵馬悲聲切
荒塚誰人問

行千里遠家鄉
痛飲夜光葡萄
萬水千山走過
賞遍冽冽寒霜

舉鐵劍御邊疆
血上馳騁沙場
劍影刀光紛繚亂
不過點點小傷

孤城外向南眺
思念的心猖狂
人靜夜深的時候
想她傻傻的笑

半生戰在他鄉
燃燒後終成霜
桑田滄海過後
只剩下涼涼月光

夕顏綻
燕還巢
下花橋同新人
舉杯歡笑
怎難忘昔日辭言

兵馬又幾度哀散
再幾回揚沙邊塞
碎石狂風烈烈吟
何以思故人

漠上又幾曲燕歌
再幾聲寥寥號角
血軀白骨掩沙痕
何須築碑墳

行千里遠家鄉
痛飲月光葡萄
萬水千山走過
嘗遍冽冽寒霜

舉鐵劍御邊疆
血上馳騁沙場
劍影刀光紛繚亂
不過點點小傷

孤城外向南眺
思念的心猖狂
人靜夜深的時候
想她傻傻的笑

半生戰在他鄉
燃燒後終成霜
桑田滄海過後
只剩下涼涼月光"
45,【洛天依乐正绫原创】如旧【YGY/原创PV付】【南北组古风】,17.1,3914,2016-01-25,YGY,www.bilibili.com/video/av3658490?from=search&seid=13348715207099616047,"
杏花漱一盏薄酒 深巷被冽香浸透
别时浅抿那一口 若不是离愁
怎会晕上眉头
如那年凭栏高楼 赋新词恰是时候
落花点点盈满袖 弦上停素手
余响落在身后

涟漪描过青石小路 玉桥流水各自一处
行者不归离燕不复 轻舸若浮萍过叶湖
来时软红吹满老树 去时点滴阶前碾成枯
脚步深浅渐次模糊 风雪满肩一程一人途

残阳外天涯风流 寡情客不置可否
西风白马孤身过 经年更萧索
爱恨从不敢多
剪烛西窗无处说 宫商角徵羽听瘦
望是月明也悠悠 相思也悠悠
白首誓青丝绣

涟漪描过青石小路 玉桥流水各自一处
行者不归离燕不复 轻舸若浮萍过叶湖
来时软红吹满老树 去时点滴阶前碾成枯
脚步深浅渐次模糊 风雪满肩一程一人途

亭台风致如旧 夜寒如旧
烟火览尽不见眼眸剔透
偏是人不如旧 负卷远走
梧桐雨秋意浓

南国生红豆谁予馈 蓬山有青鸟衔几枚
言之凿凿心事霏霏 归期未有期亦无悔
姑苏里春色自芳菲 浔阳一曲罢化蝶飞
年华灼灼你醉我醉 盈盈窃笑今生愿画眉"
46,【REMIX】核爆霍元甲狐言 自制五毛PV（河图&amp;洛天依）,17,3060,2016-04-03,银临,www.bilibili.com/video/av4261450?from=search&seid=13348715207099616047,"昆仑有姑娘策马似脱缰
十指无沾阳春水　却将长刀扛
六扇门打怪除妖多繁忙
不如与我做羹汤　红衣当配白裳

柔肠百转　梦过三生娥眉赴侠肝义胆
破千帆　一望昆仑万山寒

拨弦轻诉衷肠　回眸剑影刀光
一朝红杏泄春光　颦笑皆动荡
虎跃涧强盗强　风入松诗几行
夜太长　奈何刀锋有微芒

昆仑有姑娘我日思夜想
媚香楼畔桃花醉　胡言要闯荡
折红梅春过冬来平添香
白衣俊郎舞刀枪　万妖逃窜凄凉

柔肠百转　梦过三生娥眉赴侠肝义胆
破千帆　一望昆仑万山寒

拨弦轻诉衷肠　回眸剑影刀光
一朝红杏泄春光　颦笑皆动荡
虎跃涧强盗强　风入松诗几行
夜太长　奈何刀锋有微芒

柔肠百转　梦过三生娥眉赴侠肝义胆
破千帆　一望昆仑万山寒

拨弦轻诉衷肠　回眸剑影刀光
一朝红杏泄春光　颦笑皆动荡
虎跃涧强盗强　风入松诗几行
夜太长　奈何刀锋有微芒"
47,【南北組】泼墨漓江【玖玲p】,16.7,2612,2017-01-19,玖玲p,www.bilibili.com/video/av8088191?from=search&seid=13348715207099616047,"
迷离间如水山歌绕过一弯又一弯
雨消后漫卷细皴看疲沓了还要看
老鸦听江心蓑翁使唤捉黄鱼二三
远处有怪崖奇岩白瀑几串
算不懂碎石小道往来车马如何慢
有茂林修竹长桥短亭谁人梦江南
愁楚客欲说完　阿妹愣不管
停杯笑无聊心事　独自呢喃
想柳岸孤燕返　或唱王榭传
不如前尘抛却　兴衰都看淡
难得空半生闲适倦懒　谪仙泼墨作伴
若桂酒甘醇自当斟满

月落天白　船动莲开
戏文中悲喜醉眼忘来去自在
水流山黛　风卷云来
览尽了人间至难亦不觉窄
休去说闲与愁　何不若与我共语濛烟外

偶然读几出才子佳人俱是纸上欢
羡煞那苗家姊妹从来不用翻西厢
恰巧有阿哥寨下寻访好个俊模样
赶忙将银饰穿戴尽朝那望
都道是白衣伶仃出了临安过潇湘
又何劳跟我贫嘴叹我不愿理红妆
有哪句牵心话　情深意未长
合眠听笛声悠悠　泛舟江上
想洞庭归途远　柳生稍思量
姻缘最忍不过　痴心儿胡乱
难得落一身形骸放浪　莫顾儒生长短
几人能求得如此风光

月落天白　船动莲开
任古今相思作一传仍是不爱
水流山黛　风卷云来
收不住过眼烟波有甚感慨
消片刻天地宽　哪稀罕什么扬名千万载

去国怀乡　杯茶也醉
妾知漓江雨同是男儿泪
幸而能为君铺开百里山水
或使游子流连一时间不知归

月落天白　船动莲开
戏文中悲喜醉眼忘来去自在
水流山黛　风卷云来
览尽了人间至难亦不觉窄
休去说闲与愁
何不若与我共语濛烟外
"
48,【洛天依】腐草为萤【空色幻奏】,16.5,3708,2015-08-08,丁哥老大,www.bilibili.com/video/av2700587?from=search&seid=13348715207099616047,"纤弱的 淤泥中妖冶
颓废在 季夏第三月
最幼嫩的新叶 连凋零都不屑
何必生离死别

圆润卵石间 缭绕重生的火种
光阴只方寸 延续了枯荣
淋漓草檐下 谁撞入窗前旧灯笼
擦亮了 仓促的重逢

于青萍之末 风露更婆娑
还以为此刻 恰逢因果
是春秋开落 或夤夜闪烁
哪个更值得 一错再错

蛰伏的 随断茎摇曳
腾空在 一花一世界
躯壳快要冷却 华筵还剩几夜
思念旦暮未歇

清浅池塘边 重生破土的冲动
天地正玲珑 殡葬了飞虫
迢迢河汉间 有磷火坠地如彗锋
奢望着 能生死相拥

于青萍之末 风露更婆娑
还以为此刻 恰逢因果
是春秋开落 或夤夜闪烁
谁情愿将错就错

于盛夏之末 入夜仍灼热
又一场离合 开始凄恻
是扇底闪躲 或雨水摧折
哪里都值得 恋恋不舍"
49,【乐正绫】《华夏之章》【小旭PRO】【绛舞乱丸】,16.3,2623,2016-11-03,小旭PRO,www.bilibili.com/video/av6938236?from=search&seid=16346803664792718907,"烈日殇山河泱　自古兵马乱
一路开垣扩疆　尘沙尸骨葬
埋藏死生与兴亡
书简黄忆商汤　夏时日曷丧
欲代之以称王　秦始帝王家
汇统六国观天下
青史后人瞻仰

回首铁马金戈兵甲戎装
一身热血换大汉荣光
论谁谋兵法谁施计点将
功盖千古　傲世前尘
南征北战却违逆伦常
长安月照盛唐　牡丹下独悦女皇
遗五代怜官舞后庄
十国事几世变迁　随波逐流
大漠扬挽弓御马八荒射天狼　被明亡

蔓藤花满宫墙　清梦锁深巷
荏苒百载时光　功过又何妨
皆归了盘古炎黄
前朝韵谱清商　歌乾坤朗朗
尽负浩水汤汤　楚汉鸿沟界
兵戟争霸两相抗
皆有天意执掌

回首诸列国弩张孕新莽
祸起烽烟主各自为王
谁谈兵论战谁换盏推觞
醉饮江山　华夏千年
旧事更迭叹洪河渊长
魂断送沙场旌旗长扬
残阳下刀刃灼烫　待鬓发披霜
传后世宋词诗章　四海吟唱
羡大漠集义字肝胆铮铮铁骨儿郎

回首诸列国弩张孕新莽
祸起烽烟主各立为王
谁谈兵论战谁换盏推觞
醉饮江山　华夏千年
旧事更迭叹洪河渊长
魂断送沙场旌旗长扬

回首铁马金戈兵甲戎装
一战八方泣朱血残光
论权欲杀伐卷迹史册千浪
纵观今朝虎豹豺狼
太过嚣张露爪牙张狂
权不容动荡炙心灼烫
铁骨寒语剑披霜　我大国泱泱
天朝上南海荡荡　自属东方
握长枪一疏轻狂谁守国扩疆
中国魂千朝万代事共谱　华夏之章"
